ocdid,levels,recursive,roles,fields
ocd-division/country:us/state:al/sldl:1
ocd-division/country:us/state:al/sldl:2
ocd-division/country:us/state:al/sldl:3
ocd-division/country:us/state:al/sldl:4
ocd-division/country:us/state:al/sldl:5
ocd-division/country:us/state:al/sldl:6
ocd-division/country:us/state:al/sldl:7
ocd-division/country:us/state:al/sldl:8
ocd-division/country:us/state:al/sldl:9
ocd-division/country:us/state:al/sldl:10
ocd-division/country:us/state:al/sldl:11
ocd-division/country:us/state:al/sldl:12
ocd-division/country:us/state:al/sldl:13
ocd-division/country:us/state:al/sldl:14
ocd-division/country:us/state:al/sldl:15
ocd-division/country:us/state:al/sldl:16
ocd-division/country:us/state:al/sldl:17
ocd-division/country:us/state:al/sldl:18
ocd-division/country:us/state:al/sldl:19
ocd-division/country:us/state:al/sldl:20
ocd-division/country:us/state:al/sldl:21
ocd-division/country:us/state:al/sldl:22
ocd-division/country:us/state:al/sldl:23
ocd-division/country:us/state:al/sldl:24
ocd-division/country:us/state:al/sldl:25
ocd-division/country:us/state:al/sldl:26
ocd-division/country:us/state:al/sldl:27
ocd-division/country:us/state:al/sldl:28
ocd-division/country:us/state:al/sldl:29
ocd-division/country:us/state:al/sldl:30
ocd-division/country:us/state:al/sldl:31
ocd-division/country:us/state:al/sldl:32
ocd-division/country:us/state:al/sldl:33
ocd-division/country:us/state:al/sldl:34
ocd-division/country:us/state:al/sldl:35
ocd-division/country:us/state:al/sldl:36
ocd-division/country:us/state:al/sldl:37
ocd-division/country:us/state:al/sldl:38
ocd-division/country:us/state:al/sldl:39
ocd-division/country:us/state:al/sldl:40
ocd-division/country:us/state:al/sldl:41
ocd-division/country:us/state:al/sldl:42
ocd-division/country:us/state:al/sldl:43
ocd-division/country:us/state:al/sldl:44
ocd-division/country:us/state:al/sldl:45
ocd-division/country:us/state:al/sldl:46
ocd-division/country:us/state:al/sldl:47
ocd-division/country:us/state:al/sldl:48
ocd-division/country:us/state:al/sldl:49
ocd-division/country:us/state:al/sldl:50
ocd-division/country:us/state:al/sldl:51
ocd-division/country:us/state:al/sldl:52
ocd-division/country:us/state:al/sldl:53
ocd-division/country:us/state:al/sldl:54
ocd-division/country:us/state:al/sldl:55
ocd-division/country:us/state:al/sldl:56
ocd-division/country:us/state:al/sldl:57
ocd-division/country:us/state:al/sldl:58
ocd-division/country:us/state:al/sldl:59
ocd-division/country:us/state:al/sldl:60
ocd-division/country:us/state:al/sldl:61
ocd-division/country:us/state:al/sldl:62
ocd-division/country:us/state:al/sldl:63
ocd-division/country:us/state:al/sldl:64
ocd-division/country:us/state:al/sldl:65
