ocdid,levels,recursive,roles,fields
ocd-division/country:us/state:fl/cd:14,,,legislatorLowerBody,
ocd-division/country:us/state:fl/cd:15,,,legislatorLowerBody,
ocd-division/country:us/state:fl/cd:16,,,legislatorLowerBody,
ocd-division/country:us/state:fl/cd:17,,,legislatorLowerBody,
ocd-division/country:us/state:fl/cd:18,,,legislatorLowerBody,
ocd-division/country:us/state:fl/cd:19,,,legislatorLowerBody,
ocd-division/country:us/state:fl/cd:20,,,legislatorLowerBody,
ocd-division/country:us/state:fl/cd:21,,,legislatorLowerBody,
ocd-division/country:us/state:fl/cd:22,,,legislatorLowerBody,
ocd-division/country:us/state:fl/cd:23,,,legislatorLowerBody,
ocd-division/country:us/state:fl/cd:24,,,legislatorLowerBody,
ocd-division/country:us/state:fl/cd:25,,,legislatorLowerBody,
ocd-division/country:us/state:fl/cd:26,,,legislatorLowerBody,
ocd-division/country:us/state:fl/cd:27,,,legislatorLowerBody,
ocd-division/country:us/state:ga/cd:1,,,legislatorLowerBody,
ocd-division/country:us/state:ga/cd:2,,,legislatorLowerBody,
ocd-division/country:us/state:ga/cd:3,,,legislatorLowerBody,
ocd-division/country:us/state:ga/cd:4,,,legislatorLowerBody,
ocd-division/country:us/state:ga/cd:5,,,legislatorLowerBody,
ocd-division/country:us/state:ga/cd:6,,,legislatorLowerBody,
ocd-division/country:us/state:ga/cd:7,,,legislatorLowerBody,
ocd-division/country:us/state:ga/cd:8,,,legislatorLowerBody,
ocd-division/country:us/state:ga/cd:9,,,legislatorLowerBody,
ocd-division/country:us/state:ga/cd:10,,,legislatorLowerBody,
ocd-division/country:us/state:ga/cd:11,,,legislatorLowerBody,
ocd-division/country:us/state:ga/cd:12,,,legislatorLowerBody,
ocd-division/country:us/state:ga/cd:13,,,legislatorLowerBody,
ocd-division/country:us/state:ga/cd:14,,,legislatorLowerBody,
ocd-division/country:us/territory:gu,,,legislatorLowerBody,
ocd-division/country:us/state:hi/cd:1,,,legislatorLowerBody,
ocd-division/country:us/state:hi/cd:2,,,legislatorLowerBody,
ocd-division/country:us/state:id/cd:1,,,legislatorLowerBody,
ocd-division/country:us/state:id/cd:2,,,legislatorLowerBody,
ocd-division/country:us/state:il/cd:1,,,legislatorLowerBody,
ocd-division/country:us/state:il/cd:2,,,legislatorLowerBody,
ocd-division/country:us/state:il/cd:3,,,legislatorLowerBody,
ocd-division/country:us/state:il/cd:4,,,legislatorLowerBody,
ocd-division/country:us/state:il/cd:5,,,legislatorLowerBody,
ocd-division/country:us/state:il/cd:6,,,legislatorLowerBody,
ocd-division/country:us/state:il/cd:7,,,legislatorLowerBody,
ocd-division/country:us/state:il/cd:8,,,legislatorLowerBody,
