ocdid,levels,recursive,roles,fields
ocd-division/country:us/state:wv/cd:3,,,legislatorLowerBody,
ocd-division/country:us/state:wi/cd:1,,,legislatorLowerBody,
ocd-division/country:us/state:wi/cd:2,,,legislatorLowerBody,
ocd-division/country:us/state:wi/cd:3,,,legislatorLowerBody,
ocd-division/country:us/state:wi/cd:4,,,legislatorLowerBody,
ocd-division/country:us/state:wi/cd:5,,,legislatorLowerBody,
ocd-division/country:us/state:wi/cd:6,,,legislatorLowerBody,
ocd-division/country:us/state:wi/cd:7,,,legislatorLowerBody,
ocd-division/country:us/state:wi/cd:8,,,legislatorLowerBody,
ocd-division/country:us/state:il/cd:19,,,legislatorLowerBody,
ocd-division/country:us/state:ia/cd:5,,,legislatorLowerBody,
ocd-division/country:us/state:la/cd:7,,,legislatorLowerBody,
ocd-division/country:us/state:ma/cd:10,,,legislatorLowerBody,
ocd-division/country:us/state:mi/cd:15,,,legislatorLowerBody,
ocd-division/country:us/state:mo/cd:9,,,legislatorLowerBody,
ocd-division/country:us/state:nj/cd:13,,,legislatorLowerBody,
ocd-division/country:us/state:ny/cd:28,,,legislatorLowerBody,
ocd-division/country:us/state:ny/cd:29,,,legislatorLowerBody,
ocd-division/country:us/state:oh/cd:17,,,legislatorLowerBody,
ocd-division/country:us/state:oh/cd:18,,,legislatorLowerBody,
ocd-division/country:us/state:pa/cd:19,,,legislatorLowerBody,
ocd-division/country:us/state:ak,,,legislatorLowerBody
ocd-division/country:us/state:mt,,,legislatorLowerBody
ocd-division/country:us/state:nd,,,legislatorLowerBody
ocd-division/country:us/state:de,,,legislatorLowerBody
ocd-division/country:us/state:sd,,,legislatorLowerBody
ocd-division/country:us/state:vt,,,legislatorLowerBody
ocd-division/country:us/state:wy,,,legislatorLowerBody
